time,total energy,kinectic,gravitational
0.770108,2816.61,1579.01,-680.978
0.775664,2819.12,1587.33,-686.7
0.78122,2819.01,1579.01,-678.405
0.786776,2818.89,1570.74,-670.17
0.792332,2818.77,1562.54,-661.995
0.797888,2818.65,1554.39,-653.878
0.803444,2818.53,1546.31,-645.821
0.808999,2818.41,1538.28,-637.824
0.814555,2818.29,1530.31,-629.886
0.820111,2818.17,1522.4,-622.007
0.825667,2818.06,1514.55,-614.188
0.831223,2817.94,1506.76,-606.428
0.836779,2817.82,1499.03,-598.727
0.842335,2817.7,1491.36,-591.086
0.84789,2817.58,1483.75,-583.505
0.853446,2817.46,1476.2,-575.983
0.859002,2817.34,1468.71,-568.52
0.864558,2817.22,1461.27,-561.116
0.870114,2817.1,1453.9,-553.772
0.87567,2816.99,1446.59,-546.488
0.881225,2816.87,1439.33,-539.263
0.886781,2816.75,1432.14,-532.097
0.892337,2816.63,1425,-524.991
0.897893,2816.51,1417.92,-517.944
0.903449,2816.39,1410.91,-510.956
0.909005,2816.27,1403.95,-504.028
0.91456,2816.15,1397.05,-497.16
0.920116,2816.04,1390.21,-490.35
0.925672,2815.92,1383.43,-483.601
0.931228,2815.8,1376.71,-476.91
0.936784,2815.68,1370.05,-470.279
0.94234,2815.56,1363.45,-463.707
0.947896,2815.44,1356.91,-457.195
0.953451,2815.32,1350.43,-450.743
0.959007,2817.85,1344,-444.349
0.964563,2817.73,1337.64,-438.015
0.970119,2817.61,1331.33,-431.741
0.975675,2817.49,1325.09,-425.526
0.981231,2817.38,1318.9,-419.37
0.986786,2817.26,1312.78,-413.274
0.992342,2817.14,1306.71,-407.237
0.997898,2817.02,1300.7,-401.259
1.00345,2816.9,1010.29,-402.55
1.00901,2816.78,1009.21,-401.504
1.01457,2816.66,1008.2,-400.517
1.02012,2816.54,1007.24,-399.589
1.02568,2816.43,1006.34,-398.721
1.03123,2816.31,1005.5,-397.912
1.03679,2816.19,1004.73,-397.163
1.04235,2816.07,1004.01,-396.473
1.0479,2815.95,1003.35,-395.843
1.05346,2815.83,1002.74,-395.272
1.05901,2815.71,1002.2,-394.76
1.06457,2815.59,1001.72,-394.308
1.07013,2815.47,1001.3,-393.915
1.07568,2815.36,1000.94,-393.581
1.08124,2815.24,1000.63,-393.307
1.08679,2815.12,1000.39,-393.093
1.09235,2815,1000.2,-392.938
1.0979,2814.88,1000.08,-392.842
1.10346,2814.76,1000.01,-392.805
1.10902,2814.64,1000,-392.828
1.11457,2814.52,1000.06,-392.911
1.12013,2814.41,1000.17,-393.053
1.12568,2814.29,1000.34,-393.254
1.13124,2814.17,1000.57,-393.515
1.1368,2814.05,1000.86,-393.835
1.14235,2813.93,1001.21,-394.214
1.14791,2813.81,1001.62,-394.653
1.15346,2813.69,1002.09,-395.151
1.15902,2813.57,1002.62,-395.709
1.16457,2813.45,1003.21,-396.326
1.17013,2813.34,1003.85,-397.003
1.17569,2813.22,1004.56,-397.739
1.18124,2813.1,1005.32,-398.534
1.1868,2812.98,1006.15,-399.389
1.19235,2812.86,1007.03,-400.303
1.19791,2812.74,1007.98,-401.277
1.20347,2812.62,1008.98,-402.31
1.20902,2812.5,1010.04,-403.402
1.21458,2812.39,1011.17,-404.554
1.22013,2812.27,1012.35,-405.765
1.22569,2812.15,1013.59,-407.036
1.23125,2812.03,1014.89,-408.366
1.2368,2811.91,1016.25,-409.756
1.24236,2811.79,1017.67,-411.204
1.24791,2811.67,1019.15,-412.713
1.25347,2811.55,1020.68,-414.28
1.25902,2811.43,1022.28,-415.908
1.26458,2811.32,1023.94,-417.594
1.27014,2811.2,1025.65,-419.34
1.27569,2811.08,1027.43,-421.145
1.28125,2810.96,1029.27,-423.01
1.2868,2810.84,1031.16,-424.934
1.29236,2810.72,1033.11,-426.918
1.29792,2810.6,1035.13,-428.961
1.30347,2810.48,1037.2,-431.063
1.30903,2810.37,1039.33,-433.225
1.31458,2810.25,1041.52,-435.447
1.32014,2810.13,1043.77,-437.727
1.3257,2810.01,1046.08,-440.067
1.33125,2809.89,1048.45,-442.467
1.33681,2809.77,1050.88,-444.926
1.34236,2809.65,1053.37,-447.444
1.34792,2809.53,1055.92,-450.022
1.35347,2809.41,1058.53,-452.659
1.35903,2809.3,1061.19,-455.355
1.36459,2809.18,1063.92,-458.111
1.37014,2809.06,1066.71,-460.927
1.3757,2808.94,1069.55,-463.801
1.38125,2808.82,1072.46,-466.736
1.38681,2808.7,1075.42,-469.729
1.39237,2808.58,1078.44,-472.782
1.39792,2808.46,1081.53,-475.895
1.40348,2808.35,1084.67,-479.066
1.40903,2808.23,1087.87,-482.298
1.41459,2808.11,1091.13,-485.588
1.42014,2807.99,1094.45,-488.938
1.4257,2807.87,1097.83,-492.348
1.43126,2807.75,1101.27,-495.817
1.43681,2807.63,1104.77,-499.345
1.44237,2807.51,1108.33,-502.933
1.44792,2807.39,1111.94,-506.58
1.45348,2807.28,1115.62,-510.286
1.45904,2807.16,1119.36,-514.052
1.46459,2807.04,1123.15,-517.878
1.47015,2806.92,1127.01,-521.762
1.4757,2806.8,1130.92,-525.706
1.48126,2806.68,1134.9,-529.71
1.48681,2806.56,1138.93,-533.773
1.49237,2806.44,1143.02,-537.895
1.49793,2806.33,1147.17,-542.077
1.50348,2806.21,1151.39,-546.318
1.50904,2806.09,1155.66,-550.619
1.51459,2805.97,1159.99,-554.979
1.52015,2805.85,1164.38,-559.398
1.52571,2805.73,1168.83,-563.877
1.53126,2805.61,1173.33,-568.416
1.53682,2805.49,1177.9,-573.013
1.54237,2805.37,1182.53,-577.67
1.54793,2805.26,1187.22,-582.387
1.55349,2805.14,1191.96,-587.163
1.55904,2805.02,1196.77,-591.998
1.5646,2804.9,1201.63,-596.893
1.57015,2804.78,1206.56,-601.847
1.57571,2804.66,1211.54,-606.861
1.58126,2804.54,1216.58,-611.934
1.58682,2804.42,1221.69,-617.066
1.59238,2805.07,1226.85,-622.258
1.59793,2804.95,1232.07,-627.509
1.60349,2804.83,1237.35,-632.82
1.60904,2804.71,1242.69,-638.19
1.6146,2804.59,1248.09,-643.619
1.62016,2804.47,1253.55,-649.108
1.62571,2804.35,1259.07,-654.656
1.63127,2804.24,1264.65,-660.264
1.63682,2804.12,1270.29,-665.931
1.64238,2804,1275.98,-671.657
1.64793,2803.88,1281.74,-677.443
1.65349,2803.76,1287.55,-683.289
1.65905,2806.14,1293.43,-686.7
1.6646,2806.02,1287.55,-680.855
1.67016,2805.9,1281.74,-675.069
1.67571,2805.78,1275.98,-669.342
1.68127,2805.66,1270.29,-663.675
1.68683,2805.54,1264.65,-658.067
1.69238,2805.42,1259.07,-652.519
1.69794,2805.3,1253.55,-647.03
1.70349,2805.19,1248.09,-641.601
1.70905,2805.07,1242.69,-636.231
1.71461,2804.95,1237.35,-630.92
1.72016,2804.83,1232.07,-625.669
1.72572,2804.71,1226.85,-620.477
1.73127,2804.59,1221.69,-615.345
1.73683,2804.47,1216.58,-610.272
1.74238,2804.35,1211.54,-605.258
1.74794,2804.23,1206.56,-600.304
1.7535,2804.12,1201.63,-595.409
1.75905,2804,1196.77,-590.574
1.76461,2803.88,1191.96,-585.798
1.77016,2803.76,1187.22,-581.081
1.77572,2803.64,1182.53,-576.424
1.78128,2803.52,1177.9,-571.827
1.78683,2803.4,1173.33,-567.288
1.79239,2803.28,1168.83,-562.809
1.79794,2803.16,1164.38,-558.39
1.8035,2803.05,1159.99,-554.03
1.80905,2802.93,1155.66,-549.729
1.81461,2802.81,1151.39,-545.488
1.82017,2802.69,1147.17,-541.306
1.82572,2802.57,1143.02,-537.184
1.83128,2802.45,1138.93,-533.121
1.83683,2802.33,1134.9,-529.117
1.84239,2802.21,1130.92,-525.173
1.84795,2802.1,1127.01,-521.288
1.8535,2801.98,1123.15,-517.463
1.85906,2801.86,1119.36,-513.697
1.86461,2801.74,1115.62,-509.99
1.87017,2801.62,1111.94,-506.343
1.87573,2801.5,1108.33,-502.756
1.88128,2801.38,1104.77,-499.227
1.88684,2801.26,1101.27,-495.758
1.89239,2801.15,1097.83,-492.349
1.89795,2801.03,1094.45,-488.999
1.9035,2800.91,1091.13,-485.708
1.90906,2800.79,1087.87,-482.477
1.91462,2800.67,1084.67,-479.305
1.92017,2800.55,1081.53,-476.193
1.92573,2800.43,1078.44,-473.14
1.93128,2800.31,1075.42,-470.146
1.93684,2800.19,1072.46,-467.212
1.9424,2800.08,1069.55,-464.337
1.94795,2799.96,1066.71,-461.522
1.95351,2799.84,1063.92,-458.766
1.95906,2799.72,1061.19,-456.07
1.96462,2799.6,1058.53,-453.432
1.97017,2799.48,1055.92,-450.855
1.97573,2799.36,1053.37,-448.336
1.98129,2799.24,1050.88,-445.878
1.98684,2799.12,1048.45,-443.478
1.9924,2799.01,1046.08,-441.138
1.99795,2798.89,1043.77,-438.857
2.00351,2798.77,1041.52,-436.636
2.00907,2798.65,1039.33,-434.474
2.01462,2798.53,1037.2,-432.372
2.02018,2798.41,1035.13,-430.329
2.02573,2798.29,1033.11,-428.345
2.03129,2798.17,1031.16,-426.421
2.03685,2798.06,1029.27,-424.556
2.0424,2797.94,1027.43,-422.751
2.04796,2797.82,1025.65,-421.005
2.05351,2797.7,1023.94,-419.318
2.05907,2797.58,1022.28,-417.691
2.06463,2797.46,1020.68,-416.124
2.07018,2797.34,1019.15,-414.615
2.07574,2797.22,1017.67,-413.166
2.08129,2797.1,1016.25,-411.777
2.08685,2796.99,1014.89,-410.447
2.0924,2796.87,1013.59,-409.176
2.09796,2796.75,1012.35,-407.965
2.10352,2796.63,1011.17,-406.813
2.10907,2796.51,1010.04,-405.721
2.11463,2796.39,1008.98,-404.688
2.12018,2796.27,1305.36,-412.512
2.12574,2796.15,1311.41,-418.595
2.1313,2796.04,1317.53,-424.738
2.13685,2795.92,1323.7,-430.939
2.14241,2801.72,1329.93,-437.201
2.14796,2801.6,1336.22,-443.521
2.15352,2801.48,1342.57,-449.901
2.15907,2801.36,1348.98,-456.341
2.16463,2801.25,1355.45,-462.84
2.17019,2801.13,1361.98,-469.398
2.17574,2801.01,1368.57,-476.016
2.1813,2800.89,1375.21,-482.693
2.18685,2800.77,1381.92,-489.429
2.19241,2800.65,1388.69,-496.225
2.19797,2800.53,1395.51,-503.081
2.20352,2800.41,1402.4,-509.995
2.20908,2800.3,1409.34,-516.97
2.21463,2800.18,1416.35,-524.003
2.22019,2802.66,1423.41,-531.096
2.22575,2802.54,1430.53,-538.248
2.2313,2802.42,1437.71,-545.46
2.23686,2802.3,1444.96,-552.732
2.24241,2802.18,1452.26,-560.062
2.24797,2802.06,1459.62,-567.452
2.25352,2801.95,1467.04,-574.902
2.25908,2801.83,1474.52,-582.411
2.26464,2801.71,1482.06,-589.979
2.27019,2801.59,1489.65,-597.607
2.27575,2801.47,1497.31,-605.294
2.2813,2801.35,1505.03,-613.04
2.28686,2801.23,1512.8,-620.846
2.29242,2801.11,1520.64,-628.712
2.29797,2801,1528.53,-636.637
2.30353,2800.88,1536.49,-644.621
2.30908,2800.76,1544.5,-652.664
2.31464,2800.64,1552.58,-660.767
2.32019,2800.52,1560.71,-668.93
2.32575,2800.4,1568.9,-677.151
2.33131,2800.28,1577.15,-685.433
2.33686,2807.24,1585.46,-686.7
2.34242,2807.12,1577.15,-678.419
2.34797,2807,1568.9,-670.197
2.35353,2806.88,1560.71,-662.035
2.35909,2806.76,1552.58,-653.932
2.36464,2806.64,1544.5,-645.888
2.3702,2806.52,1536.49,-637.904
2.37575,2806.41,1528.53,-629.979
2.38131,2806.29,1520.64,-622.114
2.38687,2806.17,1512.8,-614.308
2.39242,2806.05,1505.03,-606.561
2.39798,2805.93,1497.31,-598.874
2.40353,2805.81,1489.65,-591.246
2.40909,2805.69,1482.06,-583.678
2.41464,2805.57,1474.52,-576.169
2.4202,2805.45,1467.04,-568.72
2.42576,2805.34,1459.62,-561.33
2.43131,2805.22,1452.26,-553.999
2.43687,2805.1,1444.96,-546.728
2.44242,2804.98,1437.71,-539.516
2.44798,2804.86,1430.53,-532.364
2.45354,2804.74,1423.41,-525.271
2.45909,2804.62,1416.35,-518.237
2.46465,2804.5,1409.34,-511.263
2.4702,2804.39,1402.4,-504.348
2.47576,2804.27,1395.51,-497.493
2.48132,2804.15,1388.69,-490.697
2.48687,2804.03,1381.92,-483.96
2.49243,2803.91,1375.21,-477.283
2.49798,2803.79,1368.57,-470.665
2.50354,2803.67,1082.23,-477.803
2.50909,2803.55,1085.38,-480.988
2.51465,2803.43,1088.6,-484.233
2.52021,2803.32,1091.87,-487.539
